"id","kind","title","location","description","start","end","leaders"
"1","Meeting","General","Redwood City","","2006-01-09","",""
"2","Meeting","General","Castro Valley","","2006-02-13","",""
"3","Meeting","General","Redwood City","","2006-03-20","",""
"4","Meeting","General","Castro Valley","","2006-04-17","",""
"5","Meeting","General","Redwood City","","2006-05-15","",""
"6","Meeting","General","Castro Valley","","2006-06-19","",""
"7","Meeting","General","Redwood City","","2006-07-17","",""
"8","Meeting","General","Castro Valley","","2006-08-21","",""
"9","Meeting","General","Redwood City","","2006-09-18","",""
"10","Meeting","General","Castro Valley","","2006-10-16","",""
"11","Meeting","General","Redwood City","","2006-11-20","",""
"12","Training","Winter Skills","Echo Summit area, South Lake Tahoe","This training will include routefinding in avalanche terrain, winter shelters, and beacon and probe line practice. Open to guests with pre-approval of trip leaders.<br>              <p>|<a href="trainings/jan06-winter" class="navover style2">details</a> | <br>","2006-01-21","2006-01-22","Denise Hart, Andy Leak"
"53","Meeting","General","Castro Valley","","2007-04-16","2007-04-16",""
"13","Training","Snow Search and Rescue","Carson Pass","This training will focus on adapting our technical system to snow, efficiency in building snow anchors, patient packaging and patient care in winter conditions.  The weekend will include a full search and rescue scenario.  The training will emphasize building good teamwork in preparation for the CRMRA winter recertification exam.  Open to a limited number of guests with approval of the training leaders.","2006-02-25","2006-02-26","Tzvetie Erohina, Will Hirst"
"17","Meeting","BOD","Redwood City","","2006-01-12","0000-00-00",""
"18","Meeting","Emergency Services Bureau","Redwood City","This all-units ESB orientation is being put on by Sgt. John Diggins for members and trainees of ESB units including BAMRU.","2006-02-15","0000-00-00",""
"19","Event","BASARC Search Management Class","Alameda County","Managing the Land Search Operation.  The Bay Area Search and Rescue Council runs this two-weekend intensive class on search management annually. Our own John Carnes will be leading.","2006-02-11","2006-02-19","John Carnes"
"20","Event","CAL-MRA Recert","Convict Lake (near Bishop, CA)","The annual California-Region Mountain Rescue Association recertification exam will be hosted by Altadena SAR.  This year's recert is on snow and ice operations.  Open to team members and advanced trainees only.","2006-03-04","0000-00-00","Tzvetie Erohina, Co-leader Will Hirst"
"21","Event","MRA Spring Conference","Marin County","The Spring 2006 semi-annual conference of the <a href="http://www.mra.org/" target="_blank">Mountain Rescue Association</a> will be held in Marin County this June. Registration and further information will be available on the MRA website.","2006-06-15","2006-06-18",""
"22","Event","SAREX 2006","Butte Co","The 2006 <a href="http://www.sarex.org/" target="_blank">Search And Rescue EXpo</a> (SAREX) will be at Camp Lassen..  Attendance is limited to 500 people.","2006-09-00","0000-00-00",""
"23","Event","SAR CITY 2006","Barstow","Visit <a href="http://www.sarcity.org/" target="_blank">SAR CITY 2006</a> for more information and registration.","2006-10-00","0000-00-00",""
"24","Event","SMSO Volunteer Dinner","Location TBA","The Sheriff's Office hosts an annual volunteer appreciation dinner for all volunteer units.  This is for members and trainees.  Details will be mailed out in September.","2006-10-00","0000-00-00",""
"25","Event","ITRS 2006","Golden, CO","The annual International Technical Rescue Symposium "gathers persons from across the spectrum of rescue disciplines to share news and views on advances in equipment and techniques, technical problems, and issues of mutual concern."  Attendance is limited to 150 people.  Download a pdf of the <a href="ITRS_2006.pdf">conference flyer</a>. The meeting of the ASTM F32 Search &amp; Rescue Standards Committee will be held in the same location over two days following the conference.","2006-11-03","2006-11-06",""
"26","Event","Annual Ski Weekend","North Lake Tahoe Area, TBA","Because all work and no play makes us dull rescuers.  Trainees, bring your packets.","2006-12-00","0000-00-00","TBA"
"29","Non-County Meeting","California Region MRA","Ridgecrest (Mono County)","","2006-01-14","0000-00-00",""
"30","Non-County Meeting","California Region MRA","Montrose County","","2006-05-13","0000-00-00",""
"32","Training","Medical Scenario Course","Mt. Diablo State Park, City of Clayton","This two day course is a continuation from last year’s course in the review of patient care issues in the rural rescue setting. The course will present search and rescue scenarios in the field, ranging from locating patients, assessing them, treating any injuries and organizing an appropriate evacuation with various search and rescue equipment.","2006-10-21","2006-10-22","Tom Lass, Co-leader TBA"
"33","Event","Joel Hardin Tracking Class","Moffett Field, CA","<a href="http://www.1srg.org" target="_blank">1SRG</a> will be hosting a tracking class taught by Joel Hardin at Moffett Field.  See the <a href="http://www.1srg.org/joel-class.htm" target="_blank">class announcement</a> for more information.","2006-02-24","2006-02-26",""
